epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.565,0.31403,0.98641,1,0.04617,0.000471156,0.000471156,0.000471156
2,88.202,0.04868,0.99185,1,0.01707,0.000900588,0.000900588,0.000900588
3,130.051,0.05097,0.98913,1,0.04133,0.00128286,0.00128286,0.00128286
4,175.589,0.05091,0.97826,1,0.04325,0.00121679,0.00121679,0.00121679
5,216.147,0.06992,0.98641,1,0.0449,0.00114606,0.00114606,0.00114606
6,257.658,0.03371,0.99185,1,0.01935,0.00107532,0.00107532,0.00107532
7,298.583,0.03944,0.99728,1,0.01299,0.00100459,0.00100459,0.00100459
8,339.448,0.02313,0.99728,1,0.01242,0.000933851,0.000933851,0.000933851
9,377.781,0.02954,0.98913,1,0.02134,0.000863116,0.000863116,0.000863116
10,415.888,0.01438,0.99457,1,0.01324,0.00079238,0.00079238,0.00079238
11,454.702,0.00759,0.99728,1,0.01123,0.000721645,0.000721645,0.000721645
12,493.541,0.01214,0.99728,1,0.01736,0.000650909,0.000650909,0.000650909
13,532.498,0.01342,0.99185,1,0.02825,0.000580174,0.000580174,0.000580174
14,571.471,0.01076,0.99185,1,0.01871,0.000509438,0.000509438,0.000509438
15,613.613,0.00841,0.99457,1,0.02888,0.000438703,0.000438703,0.000438703
16,658.109,0.00984,0.99728,1,0.02285,0.000367967,0.000367967,0.000367967
17,707.323,0.01256,0.99728,1,0.01089,0.000297232,0.000297232,0.000297232
18,760.251,0.00671,0.99457,1,0.01069,0.000226497,0.000226497,0.000226497
19,808.323,0.00808,0.99728,1,0.01295,0.000155761,0.000155761,0.000155761
20,864.667,0.00811,0.99728,1,0.01366,8.50255e-05,8.50255e-05,8.50255e-05
